items
"['A', 'G']"
"['J', 'O']"
"['H', 'O']"
"['D', 'M']"
"['E', 'L']"
"['D', 'K']"
"['J', 'M']"
"['J', 'N']"
"['B', 'K']"
"['C', 'Q']"
"['A', 'I']"
"['F', 'N']"
"['D', 'N']"
"['G', 'I']"
"['C', 'J']"
"['G', 'J']"
"['D', 'O']"
"['A', 'C']"
"['A', 'H']"
"['G', 'H']"
"['H', 'K']"
"['B', 'I']"
"['A', 'P']"
"['C', 'P']"
"['F', 'G']"
"['J', 'K']"
"['H', 'I']"
"['F', 'K']"
"['M', 'P']"
"['K', 'Q']"
"['F', 'J']"
"['C', 'L']"
"['B', 'F']"
"['B', 'L']"
"['D', 'J']"
"['D', 'I']"
"['E', 'G']"
"['C', 'M']"
"['N', 'O']"
"['D', 'P']"
"['K', 'P']"
"['K', 'N']"
"['F', 'I']"
"['E', 'M']"
"['B', 'P']"
"['M', 'Q']"
"['J', 'Q']"
"['B', 'Q']"
"['H', 'L']"
"['K', 'O']"
"['A', 'M']"
"['F', 'H']"
"['G', 'N']"
"['L', 'N']"
"['C', 'O']"
"['H', 'M']"
"['B', 'E']"
"['I', 'Q']"
"['G', 'O']"
"['E', 'N']"
"['C', 'N']"
"['A', 'K']"
"['E', 'P']"
"['A', 'E']"
"['B', 'M']"
"['N', 'Q']"
"['E', 'K']"
"['B', 'C']"
"['I', 'O']"
"['B', 'N']"
"['J', 'L']"
"['B', 'O']"
"['G', 'P']"
"['I', 'K']"
"['E', 'J']"
"['E', 'H']"
"['G', 'K']"
"['I', 'N']"
"['I', 'L']"
"['A', 'D']"
"['H', 'N']"
"['C', 'F']"
"['E', 'F']"
"['B', 'J']"
"['H', 'Q']"
"['K', 'L']"
"['L', 'M']"
"['E', 'O']"
"['F', 'O']"
"['O', 'Q']"
"['M', 'O']"
"['L', 'O']"
"['C', 'G']"
"['J', 'P']"
"['G', 'M']"
"['C', 'D']"
"['A', 'O']"
"['M', 'N']"
"['G', 'L']"
"['I', 'J']"
"['B', 'H']"
"['P', 'Q']"
"['F', 'Q']"
"['D', 'L']"
"['C', 'K']"
"['D', 'F']"
"['A', 'F']"
"['E', 'Q']"
"['L', 'P']"
"['D', 'H']"
"['A', 'B']"
"['C', 'H']"
"['K', 'M']"
"['B', 'D']"
"['C', 'E']"
"['G', 'Q']"
"['F', 'M']"
"['A', 'Q']"
"['D', 'E']"
"['A', 'L']"
"['N', 'P']"
"['H', 'P']"
"['E', 'I']"
"['I', 'M']"
"['C', 'I']"
"['A', 'J']"
"['F', 'L']"
"['D', 'G']"
"['F', 'P']"
"['H', 'J']"
"['B', 'G']"
"['D', 'Q']"
"['L', 'Q']"
"['I', 'P']"
"['A', 'N']"
"['O', 'P']"
